Fecha,Hora,Sesion,Direccion,Contexto HTF,Nivel de liquidez barrido,Tipo de confirmacion,Zona de entrada,Stop Loss,Take Profit,R:R,Resultado
2025-03-28,04:44:59,LONDON,BUY,"BULLISH HTF context inside 85005.00-85821.85 range. HH/HL structure with price in discount below 85211.24.","Sell-side sweep below 85050.01",CHOCH,"FVG: Bullish FVG between 85316.42 and 85339.91",85005.00,86023.63,2.15,"SL"
2025-03-30,06:14:59,LONDON,BUY,"BULLISH HTF context inside 83061.51-83534.64 range. HH/HL structure with price in discount below 83298.07.","Sell-side sweep below 83064.17",BOS,"FVG: Bullish FVG between 83155.91 and 83159.88",83061.51,83534.64,3.91,"SL"
2025-03-31,02:09:59,LONDON,BUY,"BULLISH HTF context inside 81476.00-82305.57 range. HH/HL structure with price in discount below 82093.52.","Sell-side sweep below 81938.55",BOS,"FVG: Bullish FVG between 82045.22 and 82046.00",81919.38,82305.57,2.06,"SL"
2025-03-31,06:44:59,LONDON,SELL,"BEARISH HTF context inside 81290.88-82236.99 range. LH/LL structure with price in premium above 81836.06.","Buy-side sweep above 82219.23",BOS,"FVG: Bearish FVG between 82143.48 and 82189.37",82236.99,81884.16,4.00,"SL"
2025-03-31,06:54:59,LONDON,SELL,"BEARISH HTF context inside 81290.88-82236.99 range. LH/LL structure with price in premium above 81836.06.","Buy-side sweep above 82219.23",BOS,"FVG: Bearish FVG between 82143.48 and 82189.37",82236.99,81884.16,4.00,"SL"
2025-03-31,11:04:59,NEW_YORK,SELL,"BEARISH HTF context inside 81656.00-83943.08 range. LH/LL structure with price in premium above 83383.01.","Buy-side sweep above 83827.79",CHOCH,"FVG: Bearish FVG between 83741.28 and 83751.74",83943.08,82960.23,4.00,"TP"
2025-04-02,05:04:59,LONDON,SELL,"BEARISH HTF context inside 84125.00-85450.00 range. LH/LL structure with price in premium above 84990.11.","Buy-side sweep above 84734.04",BOS,"FVG: Bearish FVG between 85017.73 and 85025.94",84762.72,84015.97,3.88,"SL"
2025-04-02,05:09:59,LONDON,SELL,"BEARISH HTF context inside 84125.00-85450.00 range. LH/LL structure with price in premium above 84990.11.","Buy-side sweep above 84734.04",BOS,"FVG: Bearish FVG between 85017.73 and 85025.94",84762.72,84015.97,3.88,"SL"
2025-04-03,05:59:59,LONDON,BUY,"BULLISH HTF context inside 83152.25-83788.23 range. HH/HL structure with price in discount below 83455.58.","Sell-side sweep below 83275.85",CHOCH,"FVG: Bullish FVG between 83271.39 and 83364.74",83152.25,83788.23,2.84,"SL"
2025-04-03,06:09:59,LONDON,BUY,"BULLISH HTF context inside 83152.25-83788.23 range. HH/HL structure with price in discount below 83455.58.","Sell-side sweep below 83275.85",CHOCH,"FVG: Bullish FVG between 83271.39 and 83364.74",83152.25,83788.23,2.84,"SL"
2025-04-05,05:39:59,LONDON,SELL,"BEARISH HTF context inside 83359.64-83894.70 range. LH/LL structure with price in premium above 83707.23.","Buy-side sweep above 83865.10",BOS,"FVG: Bearish FVG between 83716.98 and 83720.28",83894.70,83359.64,2.04,"TP"
2025-04-05,09:14:59,NEW_YORK,BUY,"BULLISH HTF context inside 82519.37-83550.68 range. HH/HL structure with price in discount below 82927.46.","Sell-side sweep below 83429.19",BOS,"FVG: Bullish FVG between 82855.63 and 82856.59",83415.45,83974.79,2.00,"SL"
2025-04-05,09:19:59,NEW_YORK,BUY,"BULLISH HTF context inside 82519.37-83550.68 range. HH/HL structure with price in discount below 82927.46.","Sell-side sweep below 83429.19",BOS,"FVG: Bullish FVG between 82855.63 and 82856.59",83415.45,83974.79,2.00,"SL"
2025-04-05,09:24:59,NEW_YORK,BUY,"BULLISH HTF context inside 82519.37-83550.68 range. HH/HL structure with price in discount below 82927.46.","Sell-side sweep below 83429.19",BOS,"FVG: Bullish FVG between 82855.63 and 82856.59",83415.45,83974.79,2.00,"SL"
2025-04-06,11:04:59,NEW_YORK,BUY,"BULLISH HTF context inside 82217.83-82819.74 range. HH/HL structure with price in discount below 82601.71.","Sell-side sweep below 82230.43",BOS,"FVG: Bullish FVG between 82487.01 and 82527.98",82217.83,83086.82,2.00,"SL"
2025-04-07,02:34:59,LONDON,BUY,"BULLISH HTF context inside 74508.00-77500.00 range. HH/HL structure with price in discount below 75903.99.","Sell-side sweep below 74555.00",BOS,"FVG: Bullish FVG between 74810.00 and 74884.99",74508.00,76205.47,4.00,"TP"
2025-04-07,04:39:59,LONDON,SELL,"BEARISH HTF context inside 74508.00-76843.47 range. LH/LL structure with price in premium above 75964.61.","Buy-side sweep above 76485.92",BOS,"FVG: Bearish FVG between 76652.18 and 76659.67",76571.38,76317.75,4.00,"SL"
2025-04-07,06:04:59,LONDON,SELL,"BEARISH HTF context inside 75744.08-77577.88 range. LH/LL structure with price in premium above 76860.85.","Buy-side sweep above 77533.33",BOS,"FVG: Bearish FVG between 77219.98 and 77315.48",77577.88,76027.13,4.00,"SL"
2025-04-08,02:04:59,LONDON,BUY,"BULLISH HTF context inside 79279.50-80413.49 range. HH/HL structure with price in discount below 79580.83.","Sell-side sweep below 79362.78",CHOCH,"FVG: Bullish FVG between 79398.00 and 79408.01",79279.50,79897.03,4.00,"SL"
