Fecha,Hora,Sesion,Direccion,Contexto HTF,Nivel de liquidez barrido,Tipo de confirmacion,Zona de entrada,Stop Loss,Take Profit,R:R,Resultado
2025-10-13,02:04:59,LONDON,SELL,"BEARISH HTF context inside 114398.24-115379.84 range. LH/LL structure with price in premium above 114898.80.","Buy-side sweep above 114834.70",BOS,"FVG: Bearish FVG between 115164.00 and 115267.32",114840.00,114398.24,2.18,"SL"
2025-10-13,02:09:59,LONDON,SELL,"BEARISH HTF context inside 114398.24-115379.84 range. LH/LL structure with price in premium above 114898.80.","Buy-side sweep above 114834.70",BOS,"FVG: Bearish FVG between 115164.00 and 115267.32",114840.00,114398.24,2.18,"SL"
2025-10-13,02:59:59,LONDON,SELL,"BEARISH HTF context inside 114417.77-115554.83 range. LH/LL structure with price in premium above 115232.98.","Buy-side sweep above 115552.01",BOS,"FVG: Bearish FVG between 115429.93 and 115434.61",115554.83,114942.03,4.00,"TP"
2025-10-13,06:59:59,LONDON,BUY,"BULLISH HTF context inside 113616.50-115199.58 range. HH/HL structure with price in discount below 114293.68.","Sell-side sweep below 114431.53",BOS,"FVG: Bullish FVG between 114154.01 and 114206.23",114158.78,114265.48,4.00,"SL"
2025-10-14,04:04:59,LONDON,SELL,"BEARISH HTF context inside 111355.01-112435.61 range. LH/LL structure with price in premium above 111792.86.","Buy-side sweep above 112090.75",BOS,"FVG: Bearish FVG between 112000.01 and 112067.09",112140.00,111607.75,4.00,"TP"
2025-10-14,06:59:59,LONDON,SELL,"BEARISH HTF context inside 110012.24-111900.00 range. LH/LL structure with price in premium above 110821.26.","Buy-side sweep above 111617.68",BOS,"FVG: Bearish FVG between 111475.33 and 111503.97",111630.28,110927.13,4.00,"TP"
2025-10-14,11:44:59,NEW_YORK,SELL,"BEARISH HTF context inside 111062.15-113187.62 range. LH/LL structure with price in premium above 112124.88.","Buy-side sweep above 112943.82",CHOCH,"FVG: Bearish FVG between 112688.99 and 112704.80",113187.62,110734.00,4.00,"SL"
2025-10-15,02:44:59,LONDON,SELL,"BEARISH HTF context inside 111896.07-112680.00 range. LH/LL structure with price in premium above 112288.04.","Buy-side sweep above 112599.84",CHOCH,"FVG: Bearish FVG between 112338.16 and 112387.20",112680.00,111728.04,2.00,"SL"
2025-10-15,06:14:59,LONDON,BUY,"BULLISH HTF context inside 112072.86-113225.88 range. HH/HL structure with price in discount below 112391.54.","Sell-side sweep below 112282.33",BOS,"FVG: Bullish FVG between 112227.39 and 112242.21",112072.86,112882.56,4.00,"SL"
2025-10-15,06:24:59,LONDON,BUY,"BULLISH HTF context inside 112072.86-113225.88 range. HH/HL structure with price in discount below 112391.54.","Sell-side sweep below 112282.33",BOS,"FVG: Bullish FVG between 112227.39 and 112242.21",112072.86,112882.56,4.00,"SL"
2025-10-15,09:04:59,NEW_YORK,SELL,"BEARISH HTF context inside 110725.40-112100.00 range. LH/LL structure with price in premium above 111368.57.","Buy-side sweep above 111811.84",CHOCH,"FVG: Bearish FVG between 111625.90 and 111832.27",112011.75,110725.40,3.55,"SL"
